TransactionID,ItemCount,FreshProduce_Percent,CouponUsed,PaymentMethod,TotalSpend
1390001,250.6,258.5,1,450.2,60.0
1390002,379.1,104.6,1,312.0,344.8
1390003,467.8,234.7,0,19.7,294.9
1390004,479.9,220.5,1,96.7,106.5
1390005,87.5,320.6,0,212.4,305.5
1390006,91.3,70.5,0,337.9,199.6
1390007,152.9,238.8,0,393.7,475.3
1390008,132.6,444.9,1,178.8,180.4
1390009,110.8,170.0,1,393.8,74.9
1390010,66.2,263.1,0,499.7,190.0
1390011,48.4,260.2,0,439.6,82.4
1390012,211.5,395.9,1,437.9,301.4
1390013,279.6,190.7,0,161.0,412.2
1390014,99.2,168.8,0,49.6,467.6
1390015,11.1,354.9,1,449.5,252.9
1390016,93.0,146.2,0,276.8,76.6
1390017,82.0,156.3,0,248.6,352.4
1390018,472.5,117.2,0,180.4,429.3
1390019,295.9,127.4,0,183.8,126.8
1390020,214.8,21.6,0,98.0,340.2
1390021,486.1,100.3,1,363.5,284.7
1390022,174.4,,0,85.6,173.7
1390023,259.9,373.7,1,122.3,327.7
1390024,224.2,196.3,0,309.7,447.2
1390025,265.6,391.5,0,258.3,449.4
1390026,418.4,125.8,0,279.1,299.0
1390027,216.6,218.3,1,415.0,16.4
1390028,53.8,349.8,1,493.6,106.3
1390029,298.1,61.1,1,272.3,496.7
1390030,87.4,46.5,0,350.2,68.6
1390031,159.3,416.5,1,145.8,166.4
1390032,288.2,333.3,1,413.9,317.6
1390033,356.8,404.6,1,82.1,169.7
1390034,436.7,152.7,0,271.4,454.8
1390035,465.8,220.5,0,448.1,351.4
1390036,103.4,235.7,0,58.3,228.6
1390037,470.0,290.9,0,313.7,57.0
1390038,289.8,426.9,1,109.0,42.3
1390039,491.5,449.3,0,218.1,292.5
1390040,134.2,213.7,1,45.6,185.3
1390041,212.1,397.0,1,246.1,250.2
1390042,353.5,79.7,0,485.5,403.1
1390043,373.6,405.9,1,25.0,251.0
1390044,96.0,88.1,1,281.8,331.3
1390045,237.1,499.8,1,290.7,27.8
1390046,427.5,434.7,0,49.7,60.3
1390047,41.6,87.7,0,388.1,106.4
1390048,178.2,359.9,1,188.5,324.5
1390049,496.0,432.4,0,341.9,203.8
1390050,447.5,333.6,0,144.8,420.9
1390051,286.7,25.5,0,448.5,295.7
1390052,237.7,106.1,0,81.5,454.7
1390053,215.8,356.0,0,142.5,449.7
1390054,430.0,55.0,1,472.6,112.4
1390055,486.4,418.1,0,316.8,102.4
1390056,209.2,85.0,1,276.0,427.9
1390057,60.5,203.9,0,268.6,90.9
1390058,369.0,226.6,0,288.3,398.9
1390059,99.3,43.0,1,463.7,164.7
1390060,50.6,302.8,0,86.5,93.7
1390061,209.2,24.3,0,463.2,298.2
1390062,192.3,342.5,1,107.3,101.7
1390063,484.2,352.8,1,163.5,33.1
1390064,151.3,394.3,1,74.4,332.9
1390065,391.9,453.1,1,246.2,134.6
1390066,133.4,356.0,0,157.1,105.7
1390067,44.8,91.6,0,142.7,309.7
1390068,213.1,394.5,1,48.0,346.5
1390069,65.2,213.8,1,49.3,368.2
1390070,400.3,337.3,1,447.7,412.5
1390071,441.1,428.5,0,257.7,138.6
1390072,408.6,396.0,0,128.9,100.1
1390073,265.8,226.3,0,136.3,350.0
1390074,107.2,270.6,1,249.2,112.0
1390075,21.2,383.5,1,70.3,320.7
1390076,72.7,138.8,0,416.7,261.5
1390077,111.9,255.3,1,371.9,428.1
1390078,199.0,329.5,1,155.6,256.6
1390079,432.8,196.9,1,232.6,99.5
1390080,339.2,464.3,0,58.3,407.0
1390081,402.0,459.9,1,168.9,122.8
1390082,302.9,119.8,1,375.2,238.2
1390083,458.7,185.7,1,75.1,82.8
1390084,414.6,364.3,1,435.5,390.3
1390085,407.6,12.7,0,12.2,184.5
1390086,403.3,377.9,1,465.8,298.0
1390087,472.1,204.2,0,64.6,61.2
1390088,253.8,467.9,0,118.5,323.3
1390089,485.0,213.5,0,167.1,228.0
1390090,366.3,248.1,1,394.9,77.8
1390091,338.9,209.8,0,87.9,190.9
1390092,339.3,170.7,1,149.4,116.5
1390093,330.3,443.8,0,59.3,402.0
1390094,300.8,,0,155.5,183.5
1390095,446.7,243.9,1,320.3,80.0
1390096,431.3,334.3,1,63.0,154.6
1390097,334.7,291.2,0,475.0,203.8
1390098,15.3,329.1,0,13.4,431.7
1390099,347.0,15.7,1,35.7,410.2
1390100,462.2,306.8,0,451.7,133.1
1390101,332.9,482.8,1,139.5,308.0
1390102,482.3,321.5,0,299.7,215.0
1390103,443.2,139.4,1,299.0,374.2
1390104,400.1,144.8,1,481.3,396.5
1390105,208.0,277.7,0,184.1,157.9
1390106,290.9,327.4,1,448.7,151.2
1390107,311.4,193.5,1,198.1,330.3
1390108,408.4,247.4,1,468.6,120.0
1390109,317.4,43.0,0,41.3,63.5
1390110,453.3,434.3,0,59.1,59.4
1390111,300.7,210.1,0,438.0,134.1
1390112,417.0,203.9,1,107.9,156.9
1390113,179.4,174.0,1,252.6,330.8
1390114,321.7,429.5,1,479.0,235.5
1390115,25.1,389.3,1,209.8,456.3
1390116,386.8,,1,103.4,327.0
1390117,143.9,221.2,0,190.5,298.6
1390118,407.7,12.9,1,319.1,215.9
1390119,212.3,58.9,0,190.8,26.3
1390120,69.8,212.2,0,320.4,45.8
1390121,16.0,474.2,0,30.0,454.7
1390122,51.8,491.5,1,385.0,489.7
