ProjectID,TeamSize,DeployCount_Weekly,SuccessRate_Percent,RollbackTime_Mins,PerformanceScore
1640001,184.9,11.1,,389.2,201.7
1640002,160.3,286.9,96.4,136.1,360.1
1640003,146.3,216.3,383.5,480.6,361.4
1640004,414.4,347.4,301.4,170.9,346.0
1640005,248.2,245.2,466.1,28.8,323.7
1640006,358.8,179.8,114.0,47.1,168.6
1640007,48.7,434.5,83.1,371.9,496.1
1640008,392.4,398.4,184.5,487.4,243.7
1640009,278.8,169.1,184.0,355.1,58.4
1640010,86.5,405.1,456.5,52.6,92.7
1640011,306.8,26.4,162.8,125.5,11.7
1640012,161.0,212.3,44.8,466.7,87.9
1640013,78.0,286.6,132.9,253.1,297.0
1640014,29.6,318.0,352.8,330.7,227.6
1640015,475.8,78.2,255.1,430.9,284.5
1640016,220.6,288.8,38.9,379.0,156.1
1640017,446.8,383.6,99.5,359.5,252.4
1640018,351.8,358.5,251.7,363.7,150.3
1640019,151.6,194.3,254.6,290.5,481.9
1640020,313.9,377.1,411.6,93.6,50.3
1640021,331.8,239.0,201.5,260.7,351.9
1640022,390.6,251.7,343.0,267.6,29.2
1640023,473.7,348.4,259.4,225.1,45.4
1640024,340.0,222.5,23.8,258.1,493.1
1640025,428.7,262.7,382.1,410.2,136.2
1640026,213.7,26.8,382.5,306.8,201.0
1640027,105.9,281.0,208.2,121.1,444.6
1640028,341.3,357.7,314.6,450.5,290.4
1640029,96.5,36.0,315.9,398.1,145.3
1640030,82.3,458.5,62.5,357.7,48.1
1640031,428.0,129.2,52.1,306.2,363.5
1640032,312.3,300.5,68.2,368.1,286.5
1640033,100.5,189.0,90.9,12.2,104.0
1640034,307.6,10.1,365.8,375.9,62.8
1640035,314.5,412.4,30.2,108.2,172.9
1640036,122.9,190.6,459.8,144.5,169.6
1640037,125.0,69.9,79.1,92.3,487.6
1640038,86.0,456.3,370.5,425.4,391.8
1640039,452.2,216.5,211.0,308.8,476.0
1640040,363.1,358.1,252.9,11.1,465.8
1640041,266.9,180.0,106.7,320.8,23.9
1640042,41.3,42.8,279.6,486.6,209.4
1640043,66.4,388.9,274.7,257.0,53.7
1640044,212.7,468.6,499.7,469.3,173.5
1640045,392.7,87.6,222.8,194.9,397.6
1640046,233.6,183.4,102.5,188.6,239.5
1640047,180.1,29.5,418.1,121.3,304.2
