EmployeeID,ExpYears,Department,Gender,EducationLevel,Salary
1980001,308.8,Support,M,247.7,488.4
1980002,479.9,Engineering,M,356.2,179.6
1980003,160.8,HR,M,422.0,26.3
1980004,39.6,Sales,M,176.2,46.5
1980005,222.7,HR,F,327.7,367.5
1980006,253.5,HR,M,116.2,497.3
1980007,488.1,Engineering,F,164.5,237.7
1980008,374.4,Sales,F,180.8,40.1
1980009,207.5,Support,M,135.9,39.9
1980010,304.2,HR,M,220.6,316.0
1980011,406.1,Support,F,252.2,407.9
1980012,126.0,Engineering,F,328.3,65.3
1980013,269.6,Engineering,F,146.7,37.6
1980014,96.3,HR,F,187.1,68.1
1980015,205.8,Engineering,F,401.8,161.0
1980016,152.4,HR,F,229.8,28.4
1980017,114.1,HR,F,34.0,301.9
1980018,55.4,Sales,F,233.5,486.3
1980019,165.5,Sales,M,426.1,281.1
1980020,46.1,Engineering,F,438.1,260.2
1980021,64.0,HR,M,362.0,109.7
1980022,62.2,Engineering,F,385.3,461.2
1980023,221.1,Engineering,M,231.3,130.1
1980024,122.2,Engineering,M,161.4,134.1
1980025,377.5,Engineering,F,191.6,373.3
1980026,429.6,Sales,M,339.5,122.9
1980027,398.7,Support,M,410.2,14.5
1980028,395.8,HR,F,129.6,126.7
1980029,364.9,Sales,F,455.3,282.8
1980030,365.3,Engineering,F,453.7,323.9
1980031,411.6,Support,M,164.9,88.1
1980032,77.4,Support,M,336.3,262.9
1980033,35.2,Support,F,264.4,67.4
1980034,249.0,HR,M,168.8,367.7
1980035,157.8,HR,M,22.2,38.1
1980036,308.6,Sales,M,496.0,387.1
1980037,201.1,Sales,F,342.8,400.0
1980038,288.5,HR,F,209.8,451.4
1980039,39.6,HR,F,102.3,132.1
1980040,401.1,Engineering,F,428.4,208.5
1980041,373.1,Support,F,423.2,359.0
1980042,87.5,Support,F,270.9,475.3
1980043,305.5,Engineering,M,182.7,54.8
1980044,12.7,Engineering,M,325.5,17.7
1980045,334.3,HR,F,205.5,458.1
1980046,127.1,Engineering,M,455.3,183.3
1980047,68.3,Sales,F,428.7,391.0
1980048,468.9,Support,M,253.0,319.1
1980049,159.9,Engineering,F,435.9,72.4
1980050,181.0,Sales,F,167.7,406.8
1980051,135.3,Engineering,M,422.3,440.2
1980052,484.4,Engineering,F,424.0,304.4
1980053,144.8,HR,F,135.0,440.1
1980054,79.5,Support,M,459.2,432.1
1980055,326.7,Support,M,411.3,308.7
1980056,287.5,Engineering,M,312.6,406.6
1980057,351.7,Support,F,467.1,23.4
1980058,433.6,HR,F,141.3,235.5
1980059,297.0,Engineering,F,260.8,179.5
1980060,97.6,Sales,M,112.2,25.1
1980061,91.2,Sales,M,11.2,395.4
1980062,61.0,Sales,M,462.8,411.9
1980063,219.6,Sales,F,50.9,434.6
1980064,474.7,Support,M,180.5,349.1
1980065,179.9,HR,F,249.6,472.9
1980066,30.7,Sales,M,38.5,241.7
1980067,132.9,Support,M,478.3,77.3
1980068,406.9,Sales,F,211.0,253.7
1980069,289.5,Support,M,49.1,337.4
1980070,479.5,Support,M,430.3,172.8
1980071,147.8,Engineering,F,341.6,393.9
1980072,275.7,Sales,M,359.0,412.5
1980073,226.0,HR,M,476.5,106.1
1980074,192.0,Support,F,42.6,61.5
1980075,31.5,Sales,F,249.4,16.5
1980076,119.2,Engineering,F,91.5,466.7
1980077,79.8,Sales,M,377.3,157.5
1980078,321.8,Sales,M,383.2,193.2
